# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Σφάλμα φόρτωσης απαιτούμενων πόρων.
You didn't set up yet Two Factor Authentication for your account.,Δεν έχετε ακόμα ρυθμίσει τη Διπλή Παράγοντα Ταυτοποίηση για τον λογαριασμό σας.
"In order to strengthen your account security, it is recommended that you set up Two-Factor Authentication.","Για να ενισχύσετε την ασφάλεια του λογαριασμού σας, συνιστάται να ενεργοποιήσετε τη Διπλή Πιστοποίηση."
What Two-Factor Authentication (TFA) means?,Τι σημαίνει η Διπλή Πιστοποίηση Ταυτότητας (TFA);
Setup Two Factor Authentication,Ρύθμιση Διπλής Ταυτοποίησης Παράγοντα
"In case you didn't download your recovery codes yet, you still can, by providing a two factor authentication verification code first.","Σε περίπτωση που δεν έχετε κατεβάσει ακόμα τους κωδικούς ανάκτησής σας, μπορείτε ακόμα να το κάνετε, παρέχοντας πρώτα έναν κωδικό επαλήθευσης διπλού παράγοντα."
Download Recovery Codes,Λήψη Κωδικών Ανάκτησης
Cancel Download,Ακύρωση Λήψης
"Altough we don't recommend it, you can disable your Two Factor Authentication set up.","Παρόλο που δεν το συνιστούμε, μπορείτε να απενεργοποιήσετε τη διαδικασία εγκατάστασης της Διπλής Πιστοποίησης Ταυτότητας."
Disable Two Factor Authentication,Απενεργοποίηση Διπλής Παράγοντα Ταυτοποίησης
"Altough we don't recommend it, you can disable your Two Factor Authentication set up after providing a verification code.","Παρόλο που δεν το συνιστούμε, μπορείτε να απενεργοποιήσετε τη διπλή πιστοποίηση μετά την παροχή ενός κωδικού επαλήθευσης."
Disable TFA Setup,Απενεργοποίηση Ρύθμισης TFA
Please provide a verification code first.,Παρακαλώ παρέχετε έναν κωδικό επαλήθευσης πρώτα.
Are you sure you want to disable TFA setup for your account?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε τη ρύθμιση TFA για τον λογαριασμό σας;
You are setting up two factor authentication for account %s.,Διαμορφώνετε τη διπλή πιστοποίηση για τον λογαριασμό %s.
Please note that on this platform two factor authentication is mandatory.,Σημειώστε ότι σε αυτήν την πλατφόρμα η διπλή ταυτοποίηση είναι υποχρεωτική.
Error obtaining two factor authentication recovery codes. Please refresh the page.,Σφάλμα κατά τη λήψη των κωδικών ανάκτησης διπλής πιστοποίησης ταυτότητας. Παρακαλώ ανανεώστε τη σελίδα.
Please download your recovery codes and store them somewhere safe.,Παρακαλώ κατεβάστε τους κωδικούς ανάκτησής σας και αποθηκεύστε τους κάπου ασφαλώς.
Downloading file. Please wait...,Λήψη αρχείου. Παρακαλώ περιμένετε...
"After download finishes, you can continue browsing the site.","Μετά το τέλος της λήψης, μπορείτε να συνεχίσετε την περιήγηση στον ιστότοπο."
Continue browsing the site,Συνεχίστε την περιήγηση στον ιστότοπο
Remember Me,Θυμήσου με
 (for %s), (για %s)
Normal sessions will expire in %s.,Οι κανονικές συνεδρίες θα λήξουν σε %s.
Forgot password,Ξεχάσατε τον κωδικό πρόσβασης
Provide email address of your account,Παράσχετε τη διεύθυνση email του λογαριασμού σας
Once you submit this form you will receive an email with instructions.,"Μόλις υποβάλετε αυτή τη φόρμα, θα λάβετε email με οδηγίες."
Submit,Υποβολή
You are setting up a password for account %s.,Δημιουργείτε έναν κωδικό πρόσβασης για τον λογαριασμό %s.
Set password,Ορισμός κωδικού πρόσβασης
Error un-linking old tenants from account.,Σφάλμα κατά την αποσύνδεση των παλαιών ενοικιαστών από τον λογαριασμό.
Error linking all tenants to account.,Σφάλμα σύνδεσης όλων των ενοικιαστών στον λογαριασμό.
Error obtaining tenants count for the account.,Σφάλμα κατά τη λήψη του αριθμού των ενοικιαστών για τον λογαριασμό.
Error updating multi-tenant details for account.,Σφάλμα κατά την ενημέρωση των λεπτομερειών πολλαπλών ενοικιαστών για τον λογαριασμό.
Please provide account tenant details.,Παρακαλώ παράσχετε λεπτομέρειες λογαριασμού ενοικιαστή.
Level %s,Επίπεδο %s
Couldn't obtain account password.,Αδυναμία λήψης κωδικού πρόσβασης λογαριασμού.
Cannot obtain flow params.,Αδυναμία λήψης παραμέτρων ροής.
Please provide a valid account to save password history.,Παρακαλώ παρέχετε ένα έγκυρο λογαριασμό για να αποθηκεύσετε το ιστορικό κωδικών πρόσβασης.
Please provide a valid language.,Παρακαλώ παρέχετε μια έγκυρη γλώσσα.
Error updating account language.,Σφάλμα κατά την ενημέρωση της γλώσσας του λογαριασμού.
Error saving session details to database.,Σφάλμα κατά την αποθήκευση λεπτομερειών συνεδρίας στη βάση δεδομένων.
Invalid login source.,Μη έγκυρη πηγή σύνδεσης.
Already logged in.,Ήδη συνδεδεμένος.
Error resetting account locking.,Σφάλμα επαναφοράς κλειδώματος λογαριασμού.
Error inactivating account.,Σφάλμα στην απενεργοποίηση λογαριασμού.
Error activating account.,Σφάλμα κατά την ενεργοποίηση λογαριασμού.
Error launching account action in background.,Σφάλμα κατά την εκκίνηση της ενέργειας λογαριασμού στο παρασκήνιο.
This account doesn't need a confirmation email anymore. Logged in before or already active.,Αυτός ο λογαριασμός δεν χρειάζεται πλέον επιβεβαιωτικό email. Έχει συνδεθεί προηγουμένως ή είναι ήδη ενεργός.
Error sending confirmation email. Please try again.,Σφάλμα κατά την αποστολή email επιβεβαίωσης. Παρακαλώ προσπαθήστε ξανά.
Error sending activation email. Please try again.,Σφάλμα κατά την αποστολή email ενεργοποίησης. Παρακαλώ προσπαθήστε ξανά.
Invalid flow parameters while updating user details.,Μη έγκυρες παράμετροι ροής κατά την ενημέρωση των στοιχείων χρήστη.
Error obtaining account details model instance.,Σφάλμα κατά τη λήψη της μονάδας μοντέλου λεπτομερειών λογαριασμού.
Invalid account to update details.,Μη έγκυρος λογαριασμός για ενημέρωση στοιχείων.
Error saving account details in database. Please try again.,Σφάλμα κατά την αποθήκευση των λεπτομερειών λογαριασμού στη βάση δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Couldn't link account details with the account. Please try again.,Δεν ήταν δυνατή η σύνδεση των λεπτομερειών του λογαριασμού με τον λογαριασμό. Παρακαλώ προσπαθήστε ξανά.
Please provide an email.,Παρακαλώ δώστε μια διεύθυνση email.
Please provide a valid email.,Παρακαλώ δώστε ένα έγκυρο email.
Please provide an username.,Παρακαλώ δώστε ένα όνομα χρήστη.
Please provide a valid account level.,Παρακαλώ παρέχετε ένα έγκυρο επίπεδο λογαριασμού.
Please provide a password.,Παρακαλώ δώστε έναν κωδικό πρόσβασης.
Username already exists in database. Please pick another one.,Το όνομα χρήστη υπάρχει ήδη στη βάση δεδομένων. Παρακαλώ επιλέξτε ένα άλλο.
Email address exists in database. Please pick another one.,Η διεύθυνση email υπάρχει στη βάση δεδομένων. Παρακαλώ επιλέξτε μια άλλη.
Error encrypting account password. Please retry.,Σφάλμα κρυπτογράφησης κωδικού λογαριασμού. Παρακαλώ δοκιμάστε ξανά.
Error obtaining account password. Please retry.,Σφάλμα κατά τη λήψη του κωδικού πρόσβασης λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Error saving account password. Please try again.,Σφάλμα κατά την αποθήκευση του κωδικού πρόσβασης λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Error sending registration email. Please try again.,Σφάλμα κατά την αποστολή email εγγραφής. Παρακαλώ προσπαθήστε ξανά.
You used this password in the past. Please provide another one.,Χρησιμοποιήσατε αυτόν τον κωδικό πρόσβασης στο παρελθόν. Παρακαλώ δώστε έναν άλλον.
"You used this password in last %s, one of last %s passwords. Please provide another one.","Χρησιμοποιήσατε αυτόν τον κωδικό πρόσβασης την τελευταία φορά %s, έναν από τους τελευταίους %s κωδικούς πρόσβασης. Παρακαλώ δώστε έναν άλλον."
Invalid email address.,Μη έγκυρη διεύθυνση email.
Nickname already exists in database. Please pick another one.,Το ψευδώνυμο υπάρχει ήδη στη βάση δεδομένων. Παρακαλώ επιλέξτε ένα άλλο.
Error saving account roles in database. Please try again.,Σφάλμα κατά την αποθήκευση των ρόλων λογαριασμού στη βάση δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Error saving account tenants in database. Please try again.,Σφάλμα κατά την αποθήκευση των ενοικιαστών λογαριασμού στη βάση δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Error inserting account password. Please try again.,Σφάλμα κατά την εισαγωγή του κωδικού λογαριασμού. Παρακαλώ προσπαθήστε ξανά.
Click for details,Κάντε κλικ για λεπτομέρειες
Password doesn't match regular expression %s.,Ο κωδικός πρόσβασης δεν ταιριάζει με την τακτική εκφραση %s.
Error saving password history data.,Σφάλμα κατά την αποθήκευση δεδομένων ιστορικού κωδικού πρόσβασης.
%s hash algorithm not available on this server.,Ο αλγόριθμος hash %s δεν είναι διαθέσιμος σε αυτό τον διακομιστή.
Error querying users from database.,Σφάλμα κατά τον ερώτημα των χρηστών από τη βάση δεδομένων.
Error obtaining password salts flow.,Σφάλμα κατά τη λήψη των υπολοίπων των κωδικών πρόσβασης.
Member,Μέλος
Admin,Διαχειριστής
Super admin,Υπερδιαχειριστής
Developer,Προγραμματιστής
Please provide an user account id.,Παρακαλώ παρέχετε ένα αναγνωριστικό λογαριασμού χρήστη.
This option is disabled.,Αυτή η επιλογή είναι απενεργοποιημένη.
Error obtaining required account data.,Σφάλμα κατά τη λήψη των απαιτούμενων δεδομένων λογαριασμού.
Error marking this device as TFA valid.,Σφάλμα σήμανσης αυτής της συσκευής ως έγκυρη για TFA.
Session not created yet.,Η συνεδρία δεν έχει δημιουργηθεί ακόμα.
Invalid TFA data provided.,Παρέχονται μη έγκυρα δεδομένα TFA.
Error deleting two factor authentication data.,Σφάλμα διαγραφής δεδομένων διπλής πιστοποίησης ταυτότητας.
Error finishing two factor authenticatrion setup.,Σφάλμα ολοκλήρωσης ρύθμισης διπλής πιστοποίησης ταυτότητας.
Error updating two factor authenticatrion setup.,Σφάλμα κατά την ενημέρωση της ρύθμισης διπλής πιστοποίησης.
Error obtaining secret for provided TFA data.,Σφάλμα κατά τη λήψη μυστικού για τα παρεχόμενα δεδομένα TFA.
Error obtaining recovery codes for provided TFA data.,Σφάλμα κατά τη λήψη των κωδικών ανάκτησης για τα παρεχόμενα δεδομένα TFA.
Two factor authentication secret length is not valid.,Το μήκος του μυστικού της διπλής πιστοποίησης δύο παραγόντων δεν είναι έγκυρο.
Two factor authentication installation not required for provided account.,Η εγκατάσταση διπλής ταυτοποίησης δεν απαιτείται για το παρεχόμενο λογαριασμό.
Error installing two factor authentication data for provided account.,Σφάλμα κατά την εγκατάσταση δεδομένων διπλής πιστοποίησης ταυτότητας για τον παρεχόμενο λογαριασμό.
Account doesn't have two factor authentication installed.,Ο λογαριασμός δεν έχει εγκατεστημένη διπλή πιστοποίηση.
Invalid secret for two factor authentication.,Μη έγκυρο μυστικό για διπλή πιστοποίηση ταυτότητας.
Invalid recovery data for two factor authentication.,Μη έγκυρα δεδομένα ανάκτησης για διπλή πιστοποίηση ταυτότητας.
Nothing to update for two factor authentication for provided account.,Δεν υπάρχει κάτι να ενημερωθεί για τη διπλή πιστοποίηση ταυτότητας για το συγκεκριμένο λογαριασμό.
Error saving two factor authentication data for provided account.,Σφάλμα κατά την αποθήκευση δεδομένων διπλής πιστοποίησης ταυτότητας για τον παρεχόμενο λογαριασμό.
Error obtaining two factor authentication setup URL.,Σφάλμα κατά τη λήψη του URL ρύθμισης διπλής πιστοποίησης παράγοντα.
Error generating two factor authentication setup link.,Σφάλμα κατά τη δημιουργία του συνδέσμου εγκατάστασης διπλής πιστοποίησης παράγοντα.
Two factor authentication data not found in database.,Τα δεδομένα διπλής επαλήθευσης δεν βρέθηκαν στη βάση δεδομένων.
Error obtaining two factor authentication secret.,Σφάλμα κατά τη λήψη του μυστικού διπλής πιστοποίησης παράγοντα.
Headers already sent. Cannot send file to browser.,Κεφαλίδες έχουν ήδη σταλεί. Δεν είναι δυνατή η αποστολή του αρχείου στον περιηγητή.
Error updating two factor authentication data. Please try again.,Σφάλμα κατά την ενημέρωση δεδομένων διπλής πιστοποίησης. Παρακαλώ προσπαθήστε ξανά.
Two factor authentication setup not finialized.,Η εγκατάσταση της διπλής ταυτοποίησης δεν ολοκληρώθηκε.
Error obtaining recovery codes.,Σφάλμα κατά τη λήψη των κωδικών ανάκτησης.
Error decoding recovery data.,Σφάλμα αποκωδικοποίησης δεδομένων ανάκτησης.
Please provide a secret for 2FA.,Παρακαλώ παρέχετε ένα μυστικό για το 2FA.
Error encoding recovery data.,Σφάλμα κωδικοποίησης δεδομένων ανάκτησης.
Error encoding secret key.,Σφάλμα κωδικοποίησης μυστικού κλειδιού.
Error in TFA data.,Σφάλμα στα δεδομένα TFA.
Error decoding TFA details.,Σφάλμα αποκωδικοποίησης λεπτομερειών TFA.
Error encoding TFA details.,Σφάλμα κωδικοποίησης λεπτομερειών TFA.
Account doesn't have two factor authentication enabled.,Ο λογαριασμός δεν έχει ενεργοποιημένη τη διπλή πιστοποίηση παράγοντα.
Error obtaining two factor authentication details.,Σφάλμα κατά τη λήψη λεπτομερειών διπλής πιστοποίησης ταυτότητας.
