# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Άγνωστο σφάλμα.
Inactivating plugin failed. Please try again.,Απέτυχε η απενεργοποίηση του προσθέτου. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate plugin. Invalid plugin ID.,Αδυναμία απενεργοποίησης προσθέτου. Μη έγκυρο αναγνωριστικό προσθέτου.
Plugin upgraded with success.,Το πρόσθετο αναβαθμίστηκε με επιτυχία.
Upgrading plugin failed. Please try again.,Η αναβάθμιση του πρόσθετου απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot upgrade plugin. Invalid plugin ID.,Αδυναμία αναβάθμισης προσθέτου. Μη έγκυρο αναγνωριστικό προσθέτου.
Plugin uninstalled with success.,Το πρόσθετο απεγκαταστάθηκε με επιτυχία.
Uninstalling plugin failed. Please try again.,Αποτυχία απεγκατάστασης προσθέτου. Παρακαλώ προσπαθήστε ξανά.
Cannot uninstall plugin. Invalid plugin ID.,Αδυναμία απεγκατάστασης προσθέτου. Μη έγκυρο αναγνωριστικό προσθέτου.
Cannot uninstall this plugin.,Αδυναμία απεγκατάστασης αυτού του πρόσθετου.
Plugin deleted with success.,Το πρόσθετο διαγράφηκε με επιτυχία.
Deleting plugin failed. Please try again.,Απέτυχε η διαγραφή του πρόσθετου. Παρακαλώ προσπαθήστε ξανά.
Cannot delete plugin. Invalid plugin ID.,Αδυναμία διαγραφής προσθέτου. Μη έγκυρο αναγνωριστικό προσθέτου.
Cannot delete this plugin.,Αδυναμία διαγραφής αυτού του πρόσθετου.
%s models,%s μοντέλα
Install plugin,Εγκατάσταση προσθέτου
Uninstall plugin,Απεγκατάσταση προσθέτου
Activate plugin,Ενεργοποίηση προσθέτου
Upgrade plugin,Αναβάθμιση προσθέτου
Plugin Registry,Κατάλογος Προσθέτων
Inactivate plugin,Απενεργοποίηση προσθέτου
Delete plugin,Διαγραφή προσθέτου
Export Plugins' Settings,Εξαγωγή Ρυθμίσεων Προσθέτων
Export ALL Plugins' Settings,Εξαγωγή Ρυθμίσεων ΟΛΩΝ των Προσθέτων
Please provide a crypting key.,Παρακαλώ παρέχετε ένα κλειδί κρυπτογράφησης.
Crypting key length should be at least 64 characters length. Current length is %s characters.,Το μήκος του κλειδιού κρυπτογράφησης πρέπει να είναι τουλάχιστον 64 χαρακτήρες. Το τρέχον μήκος είναι %s χαρακτήρες.
Exporting plugin settings...,Εξαγωγή ρυθμίσεων προσθέτου...
Crypt Key,Κρυπτοκλειδί
Please provide a crypting key,Παρακαλώ παράσχετε ένα κλειδί κρυπτογράφησης
Min. 64 characters,Ελάχ. 64 χαρακτήρες
"This crypt key will be used to encrypt plugins settings. Once you obtain the export file, make sure you keep this crypt key safe. It will be used when importing settings on other platforms. If you loose it, you will not be able to import any settings from exported file.","Αυτό το κρυπτοκλειδί θα χρησιμοποιηθεί για την κρυπτογράφηση των ρυθμίσεων των προσθέτων. Μόλις αποκτήσετε το αρχείο εξαγωγής, βεβαιωθείτε ότι κρατάτε ασφαλές αυτό το κρυπτοκλειδί. Θα χρησιμοποιηθεί κατά την εισαγωγή ρυθμίσεων σε άλλες πλατφόρμες. Αν το χάσετε, δεν θα μπορείτε να εισάγετε καμία ρύθμιση από το εξαγόμενο αρχείο."
You can generate safe crypt keys here: %s,Μπορείτε να δημιουργήσετε ασφαλείς κρυπτοκλειδικές τιμές εδώ: %s
Export Settings,Ρυθμίσεις Εξαγωγής
Provided plugin is not a multi-tenant plugin. Data will be saved on default tenant.,Το παρεχόμενο πρόσθετο δεν είναι ένα πολυ-ενοικιαστικό πρόσθετο. Τα δεδομένα θα αποθηκευτούν στον προεπιλεγμένο ενοικιαστή.
Registry data saved in database.,Τα δεδομένα του μητρώου αποθηκεύτηκαν στη βάση δεδομένων.
Error saving registry data. Please try again.,Σφάλμα κατά την αποθήκευση δεδομένων μητρώου. Παρακαλώ προσπαθήστε ξανά.
Migration not found in database.,Η μεταφορά δεν βρέθηκε στη βάση δεδομένων.
Migrations List,Λίστα Μεταναστεύσεων
Migration Scripts List,Λίστα Σεναρίων Μετεγκατάστασης
migration,μετανάστευση
migrations,μεταναστεύσεις
Force run,Εξαναγκαστική εκτέλεση
All migrations from specific plugin name,Όλες οι μετακινήσεις από συγκεκριμένο όνομα προσθέτου
Plugin of the migration script,Πρόσθετο του σεναρίου μεταφοράς
Script,Σενάριο
Migrations with a specific filename,Μετακινήσεις με συγκεκριμένο όνομα αρχείου
Migration filename contains,Το όνομα αρχείου μεταφοράς περιέχει
Run From,Εκτέλεση Από
All migration scripts run after this date,Όλα τα σενάρια μεταφοράς εκτελούνται μετά από αυτήν την ημερομηνία
Start date of the script after this date,Ημερομηνία έναρξης του σεναρίου μετά από αυτήν την ημερομηνία
Run Up To,Εκτέλεση Προς
All migration scripts run before this date,Όλα τα σενάρια μεταφοράς εκτελούνται πριν από αυτήν την ημερομηνία
Start date of the script before this date,Ημερομηνία έναρξης του σεναρίου πριν από αυτήν την ημερομηνία
Specific state,Συγκεκριμένη κατάσταση
Select only migration scripts in specific state,Επιλέξτε μόνο σενάρια μετεγκατάστασης σε συγκεκριμένη κατάσταση
Still running,Εξακολουθεί να τρέχει
Finished running,Ολοκληρώθηκε η εκτέλεση
With errors,Με σφάλματα
At version,Στην έκδοση
Last refresh,Τελευταία ανανέωση
Migration launched in a background script with success. Check maintenance.log to see the output.,Η μεταφορά ξεκίνησε σε ένα σενάριο φόντου με επιτυχία. Ελέγξτε το maintenance.log για να δείτε την έξοδο.
Failed launching migration in a background script. Check maintenance.log to see any errors reported.,Αποτυχία εκκίνησης μετεγκατάστασης σε ένα σενάριο φόντου. Ελέγξτε το maintenance.log για να δείτε οποιαδήποτε αναφερόμενα σφάλματα.
Migration script details not found in database.,Λεπτομέρειες σεναρίου μετεγκατάστασης δεν βρέθηκαν στη βάση δεδομένων.
Run migration again,Εκτέλεσε ξανά τη μεταφορά δεδομένων
System logs,Καταγραφές συστήματος
Invalid log file for download.,Μη έγκυρο αρχείο καταγραφής για λήψη.
Cannot read provided log file data.,Δεν είναι δυνατή η ανάγνωση των παρεχόμενων δεδομένων αρχείου καταγραφής.
Agent Jobs Report,Αναφορά Εργασιών Πράκτορα
agent job,πράκτορας εργασία
agent jobs,εργασίες πράκτορα
Job title,Τίτλος Θέσης Εργασίας
Job handler,Χειριστής εργασίας
Error code,Κωδικός σφάλματος
Agent job error,Σφάλμα εργασίας πράκτορα
Add Agent Job,Προσθήκη Εργασίας Πράκτορα
Please provide a handler for this agent job.,Παρακαλώ παρέχετε έναν χειριστή για αυτήν την εργασία του πράκτορα.
Agent job handler already exists. Pick another one.,Ο χειριστής εργασίας πράκτορα υπάρχει ήδη. Επιλέξτε έναν άλλον.
Job parameters doesn't look like a valid JSON string or JSON is empty.,Οι παράμετροι της εργασίας δεν φαίνεται να είναι έγκυρη συμβολοσειρά JSON ή το JSON είναι κενό.
"Invalid plugin, controller or action selected. Please select valid values from drop down list.","Επιλέχθηκε μη έγκυρο πρόσθετο, ελεγκτής ή ενέργεια. Παρακαλώ επιλέξτε έγκυρες τιμές από τη λίστα αναπτυσσόμενου μενού."
"Couldn't compose a valid route using provided plugin, controller or action. Please select valid values from drop down list.","Δεν ήταν δυνατή η σύνθεση μιας έγκυρης διαδρομής χρησιμοποιώντας το παρεχόμενο πρόσθετο, ελεγκτή ή ενέργεια. Παρακαλώ επιλέξτε έγκυρες τιμές από τη λίστα αναπτυσσόμενου μενού."
Please provide a valid running interval in seconds.,Παρακαλώ παρέχετε ένα έγκυρο διάστημα λειτουργίας σε δευτερόλεπτα.
Agent job details saved...,Λεπτομέρειες εργασίας πράκτορα αποθηκεύτηκαν...
Edit Agent Job,Επεξεργασία Εργασίας Πράκτορα
Invalid agent job...,Μη έγκυρη εργασία πράκτορα...
Agent job details saved.,Λεπτομέρειες εργασίας πράκτορα αποθηκεύτηκαν.
Manage Agent Jobs,Διαχείριση Εργασιών Πράκτορα
Agent Jobs,Εργασίες Πράκτορα
Invalid agent job or agent job was not found in database.,Μη έγκυρη δουλειά πράκτορα ή η δουλειά του πράκτορα δεν βρέθηκε στη βάση δεδομένων.
Agent job details saved in database.,Λεπτομέρειες εργασίας πράκτορα αποθηκεύτηκαν στη βάση δεδομένων.
Handler,Χειριστής
All records containing this value at route field,Όλες οι εγγραφές που περιέχουν αυτήν την τιμή στο πεδίο διαδρομής
Next run,Επόμενη εκτέλεση
Last action,Τελευταία ενέργεια
Required agent jobs activated with success.,Τα απαιτούμενα θέσεις πράκτορα ενεργοποιήθηκαν με επιτυχία.
Activating selected agent jobs failed. Please try again.,Η ενεργοποίηση των επιλεγμένων θέσεων εργασίας πράκτορα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed activating all selected agent jobs. Agent jobs which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων εργασιών πράκτορα. Οι εργασίες πράκτορα που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required agent jobs inactivated with success.,Τα απαιτούμενα θέσεις πράκτορα απενεργοποιήθηκαν με επιτυχία.
Inactivating selected agent jobs failed. Please try again.,Η απενεργοποίηση επιλεγμένων θέσεων εργασίας πράκτορα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected agent jobs. Agent jobs which failed inactivation are still selected. Please try again.,Αποτυχία απενεργοποίησης όλων των επιλεγμένων θέσεων πράκτορα. Οι θέσεις πράκτορα που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required agent jobs deleted with success.,Τα απαιτούμενα θέσεις πράκτορα διαγράφηκαν με επιτυχία.
Deleting selected agent jobs failed. Please try again.,Η διαγραφή των επιλεγμένων θέσεων εργασίας πράκτορα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected agent jobs. Agent jobs which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων θέσεων πράκτορα. Οι θέσεις πράκτορα που απέτυχαν στη διαγραφή παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Agent job activated with success.,Το εργασίας πράκτορα ενεργοποιήθηκε με επιτυχία.
Activating agent job failed. Please try again.,Η ενεργοποίηση της εργασίας του παράγοντα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot activate agent job. Agent job not found in database.,Αδυναμία ενεργοποίησης εργασίας πράκτορα. Η εργασία πράκτορα δεν βρέθηκε στη βάση δεδομένων.
Agent job inactivated with success.,Το εργασία πράκτορα απενεργοποιήθηκε με επιτυχία.
Inactivating agent job failed. Please try again.,Η εργασία του ανενεργοποιητικοϿ παράγοντα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate agent job. Agent job not found in database.,Αδυναμία απενεργοποίησης της εργασίας πράκτορα. Η εργασία πράκτορα δεν βρέθηκε στη βάση δεδομένων.
Agent job started with success.,Η εργασία του πράκτορα ξεκίνησε με επιτυχία.
Running agent job failed. Please try again.,Η εκτέλεση της εργασίας του πράκτορα απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Cannot run agent job. Agent job not found in database.,Αδυναμία εκτέλεσης της εργασίας πράκτορα. Η εργασία πράκτορα δεν βρέθηκε στη βάση δεδομένων.
Cannot instantiate agent class.,Αδυναμία δημιουργίας αντικειμένου κλάσης πράκτορα.
Agent job deleted with success.,Το job του πράκτορα διαγράφηκε με επιτυχία.
Deleting agent job failed. Please try again.,Αποτυχία διαγραφής εργασίας πράκτορα. Παρακαλώ προσπαθήστε ξανά.
Cannot delete address. Agent job not found in database.,Αδυναμία διαγραφής διεύθυνσης. Το job του πράκτορα δεν βρέθηκε στη βάση δεδομένων.
Stalling,Κολλημένος
Runs every %s,Εκτελείται κάθε %s
Stalling %s,Κολλημένο %s
Edit agent job,Επεξεργασία εργασίας πράκτορα
Activate agent job,Ενεργοποίηση εργασίας πράκτορα
Inactivate agent job,Απενεργοποίηση εργασίας πράκτορα
Manually run agent job,Εκτέλεση της εργασίας του πράκτορα με το χέρι
Delete agent job,Διαγραφή εργασίας πράκτορα
Agent job last error,Τελευταίο σφάλμα εργασίας πράκτορα
Are you sure you want to activate this agent job?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε αυτήν την εργασία πράκτορα;
Are you sure you want to inactivate this agent job?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε αυτήν την εργασία πράκτορα;
NOTE: This agent job is part of a plugin. If you delete it plugin might not function normally.,"ΣΗΜΕΙΩΣΗ: Αυτή η εργασία πράκτορα είναι μέρος ενός πρόσθετου. Εάν το διαγράψετε, το πρόσθετο ενδέχεται να μη λειτουργεί κανονικά."
Are you sure you want to continue?,Είστε σίγουροι ότι θέλετε να συνεχίσετε;
Are you sure you want to DELETE this agent job?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ αυτήν την εργασία πράκτορα;
NOTE: Job is still running! You should run this job only if you know what you'r doing!!!,ΣΗΜΕΙΩΣΗ: Η εργασία εξακολουθεί να εκτελείται! Θα πρέπει να εκτελέσετε αυτήν την εργασία μόνο αν γνωρίζετε τι κάνετε!!!
Are you sure you want to manually run this agent job?,Είστε σίγουροι ότι θέλετε να εκτελέσετε χειροκίνητα αυτήν την εργασία πράκτορα;
Please select agent jobs you want to activate first.,Παρακαλώ επιλέξτε πρώτα τις εργασίες πράκτορα που θέλετε να ενεργοποιήσετε.
Are you sure you want to activate %s agent jobs?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε τις εργασίες του πράκτορα %s;
Please select agent jobs you want to inactivate first.,Παρακαλώ επιλέξτε πρώτα τις εργασίες πράκτορα που θέλετε να απενεργοποιήσετε.
Are you sure you want to inactivate %s agent jobs?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε τις εργασίες του παράγοντα %s;
Please select agent jobs you want to delete first.,Παρακαλώ επιλέξτε πρώτα τις εργασίες πράκτορα που θέλετε να διαγράψετε.
Are you sure you want to DELETE %s agent jobs?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ %s θέσεις εργασίας πράκτορα;
Add Role,Προσθήκη Ρόλου
Plugins' Integrity,Ακεραιότητα Προσθέτων
Couldn't load plugins model.,Αδυναμία φόρτωσης μοντέλων προσθέτων.
Please provide a valid plugin name.,Παρακαλώ δώστε ένα έγκυρο όνομα προσθέτου.
"Checking plugin %s (%s controllers, %s actions, %s contracts, %s models, %s events)...","Έλεγχος προσθέτου %s (%s ελεγκτές, %s ενέργειες, %s συμβάσεις, %s μοντέλα, %s συμβάντα)..."
NOT Installed,ΜΗ Εγκατεστημένο
Framework Updates,Ενημερώσεις Πλαισίου
Add API Key,Προσθήκη κλειδιού API
Error creating API instance: %s,Σφάλμα κατά τη δημιουργία παράδειγματος API: %s
Couldn't obtain an API instance.,Αδυναμία λήψης μιας περίπτωσης API.
API key details saved...,Λεπτομέρειες κλειδιού API αποθηκεύτηκαν...
Edit API Key,Επεξεργασία κλειδιού API
Invalid API key...,Μη έγκυρο κλειδί API...
API key details saved.,Λεπτομέρειες κλειδιού API αποθηκεύτηκαν.
API Keys List,Λίστα κλειδιών API
API keys,Κλειδιά API
API key,Κλειδί API
Invalid API key or API key was not found in database.,Μη έγκυρο κλειδί API ή το κλειδί API δεν βρέθηκε στη βάση δεδομένων.
API key details saved in database.,Λεπτομέρειες κλειδιού API αποθηκευμένες στη βάση δεδομένων.
API Key,Κλειδί API
Simulate Web,Προσομοίωση Ιστού
??,Απαιτείται κείμενο για μετάφραση.
Required API keys activated with success.,Τα απαιτούμενα κλειδιά API ενεργοποιήθηκαν με επιτυχία.
Activating selected API keys failed. Please try again.,Η ενεργοποίηση των επιλεγμένων κλειδιών API απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed activating all selected API keys. API keys which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων κλειδιών API. Τα κλειδιά API που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένα. Παρακαλώ προσπαθήστε ξανά.
Required API keys inactivated with success.,Τα απαιτούμενα κλειδιά API απενεργοποιήθηκαν με επιτυχία.
Inactivating selected API keys failed. Please try again.,Η απενεργοποίηση των επιλεγμένων κλειδιών API απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected API keys. API keys which failed inactivation are still selected. Please try again.,Αποτυχία απενεργοποίησης όλων των επιλεγμένων κλειδιών API. Τα κλειδιά API που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένα. Παρακαλώ προσπαθήστε ξανά.
Required API keys deleted with success.,Τα απαιτούμενα κλειδιά API διαγράφηκαν με επιτυχία.
Deleting selected API keys failed. Please try again.,Η διαγραφή των επιλεγμένων κλειδιών API απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected API keys. API keys which failed deletion are still selected. Please try again.,Αποτυχία διαγραφής όλων των επιλεγμένων κλειδιών API. Τα κλειδιά API που απέτυχαν στη διαγραφή παραμένουν επιλεγμένα. Παρακαλώ προσπαθήστε ξανά.
API key activated with success.,Το κλειδί API ενεργοποιήθηκε με επιτυχία.
Activating API key failed. Please try again.,Απέτυχε η ενεργοποίηση του κλειδιού API. Παρακαλώ προσπαθήστε ξανά.
Cannot activate API key. API key not found.,Αδυναμία ενεργοποίησης κλειδιού API. Το κλειδί API δεν βρέθηκε.
API key inactivated with success.,Το κλειδί API απενεργοποιήθηκε με επιτυχία.
Inactivating API key failed. Please try again.,Αποτυχία απενεργοποίησης κλειδιού API. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate API key. API key not found.,Αδυναμία απενεργοποίησης κλειδιού API. Το κλειδί API δεν βρέθηκε.
API key deleted with success.,Το κλειδί API διαγράφηκε με επιτυχία.
Deleting API key failed. Please try again.,Απέτυχε η διαγραφή του κλειδιού API. Παρακαλώ προσπαθήστε ξανά.
Cannot delete API key. API key not found.,Αδυναμία διαγραφής κλειδιού API. Το κλειδί API δεν βρέθηκε.
API Secret,Μυστικό API
Show,Εμφάνιση
ALL,ΟΛΑ
Edit API key,Επεξεργασία κλειδιού API
Activate API key,Ενεργοποίηση κλειδιού API
Inactivate API key,Απενεργοποίηση κλειδιού API
Delete API key,Διαγραφή κλειδιού API
Are you sure you want to activate this API key?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε αυτό το κλειδί API;
Are you sure you want to inactivate this API key?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε αυτό το κλειδί API;
Are you sure you want to DELETE this API key?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ αυτό το κλειδί API;
Please select API keys you want to activate first.,Παρακαλώ επιλέξτε πρώτα τα κλειδιά API που θέλετε να ενεργοποιήσετε.
Are you sure you want to activate %s API keys?,Είστε σίγουροι ότι θέλετε να ενεργοποιήσετε τα κλειδιά API %s;
Please select API keys you want to inactivate first.,Παρακαλώ επιλέξτε πρώτα τα κλειδιά API που θέλετε να απενεργοποιήσετε.
Are you sure you want to inactivate %s API keys?,Είστε σίγουροι ότι θέλετε να απενεργοποιήσετε τα κλειδιά API του %s;
Please select API keys you want to delete first.,Παρακαλώ επιλέξτε πρώτα τα κλειδιά API που θέλετε να διαγράψετε.
Are you sure you want to DELETE %s API keys?,Είστε σίγουροι ότι θέλετε να ΔΙΑΓΡΑΨΕΤΕ τα κλειδιά API %s;
Roles List,Λίστα Ρόλων
role,ρόλος
roles,ρόλοι
Invalid role or role was not found in database.,Μη έγκυρος ρόλος ή ο ρόλος δεν βρέθηκε στη βάση δεδομένων.
Role details saved in database.,Λεπτομέρειες ρόλου αποθηκεύτηκαν στη βάση δεδομένων.
Slug,Σαλιγκάρι
Required roles activated with success.,Τα απαιτούμενα ρόλα ενεργοποιήθηκαν με επιτυχία.
Activating selected roles failed. Please try again.,Η ενεργοποίηση των επιλεγμένων ρόλων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed activating all selected roles. Roles which failed activation are still selected. Please try again.,Αποτυχία ενεργοποίησης όλων των επιλεγμένων ρόλων. Οι ρόλοι που απέτυχαν στην ενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required roles inactivated with success.,Τα απαιτούμενα ρόλα απενεργοποιήθηκαν με επιτυχία.
Inactivating selected roles failed. Please try again.,Η απενεργοποίηση επιλεγμένων ρόλων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed inactivating all selected roles. Roles which failed inactivation are still selected. Please try again.,Απέτυχε η απενεργοποίηση όλων των επιλεγμένων ρόλων. Οι ρόλοι που απέτυχαν στην απενεργοποίηση παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Required roles deleted with success.,Τα απαιτούμενα ρόλα διαγράφηκαν με επιτυχία.
Deleting selected roles failed. Please try again.,Η διαγραφή των επιλεγμένων ρόλων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected roles. Roles which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων ρόλων. Οι ρόλοι που απέτυχαν στη διαγραφή παραμένουν επιλεγμένοι. Παρακαλώ προσπαθήστε ξανά.
Role activated with success.,Ο ρόλος ενεργοποιήθηκε με επιτυχία.
Activating role failed. Please try again.,Αποτυχία ενεργοποίησης ρόλου. Παρακαλώ προσπαθήστε ξανά.
Cannot activate role. Role not found.,Αδυναμία ενεργοποίησης ρόλου. Ο ρόλος δεν βρέθηκε.
Role inactivated with success.,Ο ρόλος απενεργοποιήθηκε με επιτυχία.
Inactivating role failed. Please try again.,Απέτυχε ο ρόλος απενεργοποίησης. Παρακαλώ προσπαθήστε ξανά.
Cannot inactivate role. Role not found.,Αδυναμία απενεργοποίησης ρόλου. Ο ρόλος δεν βρέθηκε.
Role deleted with success.,Ο ρόλος διαγράφηκε με επιτυχία.
Deleting role failed. Please try again.,Αποτυχία διαγραφής ρόλου. Παρακαλώ προσπαθήστε ξανά.
Cannot delete role. Role not found.,Αδυναμία διαγραφής ρόλου. Ο ρόλος δεν βρέθηκε.
Edit role,Επεξεργασία ρόλου
Activate role,Ενεργοποίηση ρόλου
Inactivate role,Απενεργοποίηση ρόλου
Delete role,Διαγραφή ρόλου
Plugin name not provided for validity check,Δεν παρέχεται το όνομα του πρόσθετου για έλεγχο εγκυρότητας
Unknown error while instantiating plugin.,Άγνωστο σφάλμα κατά την αρχικοποίηση του προσθέτου.
Unknown error while instantiating controller.,Άγνωστο σφάλμα κατά την αρχικοποίηση του ελεγκτή.
Unknown error while instantiating action.,Άγνωστο σφάλμα κατά την αρχικοποίηση της ενέργειας.
Unknown error while instantiating contract.,Άγνωστο σφάλμα κατά την αρχικοποίηση του συμβολαίου.
Unknown error while instantiating event.,Άγνωστο σφάλμα κατά την αρχικοποίηση του συμβάντος.
Unknown error while instantiating model.,Άγνωστο σφάλμα κατά την αρχικοποίηση του μοντέλου.
Nothing to instantiate. Please check parameters.,Δεν υπάρχει τίποτα να δημιουργηθεί. Παρακαλώ ελέγξτε τις παραμέτρους.
Admin Area,Περιοχή Διαχειριστή
Add Data Retention Policy,Προσθήκη Πολιτικής Διατήρησης Δεδομένων
Provided details are not valid. Please try again.,Τα παρεχόμενα στοιχεία δεν είναι έγκυρα. Παρακαλώ προσπαθήστε ξανά.
Invalid retention interval. Please try again.,Μη έγκυρο διάστημα διατήρησης. Παρακαλώ προσπαθήστε ξανά.
Data retention policy details saved...,Λεπτομέρειες πολιτικής διατήρησης δεδομένων αποθηκεύτηκαν...
Edit Data Retention Policy,Επεξεργασία Πολιτικής Διατήρησης Δεδομένων
Invalid data retention policy...,Μη έγκυρη πολιτική διατήρησης δεδομένων...
Data retention policy details saved.,Λεπτομέρειες πολιτικής διατήρησης δεδομένων αποθηκεύτηκαν.
Initial data retention details are not valid anymore. Please delete or re-setup the policy.,Οι αρχικές λεπτομέρειες διατήρησης δεδομένων δεν είναι πλέον έγκυρες. Παρακαλώ διαγράψτε ή επαναρυθμίστε την πολιτική.
Data Retention Policies Runs,Πολιτικές Διατήρησης Δεδομένων Εκτελείται
policy,πολιτική
policies,πολιτικές
Invalid data retention policy or data retention policy was not found in database.,Μη έγκυρη πολιτική διατήρησης δεδομένων ή η πολιτική διατήρησης δεδομένων δεν βρέθηκε στη βάση δεδομένων.
Re-run,Επανεκτέλεση
From Table,Από Πίνακα
Runs which moved records from this table,Εκτελέσεις που μετέφεραν εγγραφές από αυτόν τον πίνακα
Source table,Πίνακας πηγής
To Table,Πίνακας
Runs which moved records to this table,Εκτελέσεις που μετέφεραν εγγραφές σε αυτόν τον πίνακα
Destination table,Πίνακας προορισμού
Action Type,Τύπος Δράσης
All data policies which run after this date,Όλες οι πολιτικές δεδομένων που τρέχουν μετά από αυτήν την ημερομηνία
Start date from,Ημερομηνία έναρξης από
All data policies which run before this date,Όλες οι πολιτικές δεδομένων που τρέχουν πριν από αυτήν την ημερομηνία
Start date to,Ημερομηνία έναρξης
Retention Policy,Πολιτική Διατήρησης
From table,Από πίνακα
To table,Στον πίνακα
Field,Πεδίο
Max date,Μέγιστη ημερομηνία
Rows,Σειρές
Data retention policy launched with success.,Η πολιτική διατήρησης δεδομένων ξεκίνησε με επιτυχία.
Launching data retention policy failed. Please try again.,Απέτυχε η εκκίνηση της πολιτικής διατήρησης δεδομένων. Παρακαλώ προσπαθήστε ξανά.
Cannot launch data retention policy. Data retention policy not found.,Αδυναμία εκκίνησης πολιτικής διατήρησης δεδομένων. Η πολιτική διατήρησης δεδομένων δεν βρέθηκε.
Re-run data retention policy,Επανεκτέλεση πολιτικής διατήρησης δεδομένων
Are you sure you want to run this data retention policy again?,Είστε σίγουροι ότι θέλετε να εκτελέσετε ξανά αυτήν την πολιτική διατήρησης δεδομένων;
Data retention Policies,Πολιτικές διατήρησης δεδομένων
Data Retention Policies,Πολιτικές Διατήρησης Δεδομένων
Data retention policy details saved in database.,Λεπτομέρειες πολιτικής διατήρησης δεδομένων αποθηκευμένες στη βάση δεδομένων.
Run,Εκτέλεση
Policies for specific plugin,Πολιτικές για συγκεκριμένο πρόσθετο
Policy plugin,Πρόσθετο πολιτικής
Policies for specific model,Πολιτικές για συγκεκριμένο μοντέλο
Policy model,Μοντέλο πολιτικής
Table,Πίνακας
Policies for specific model table,Πολιτικές για συγκεκριμένο πίνακα μοντέλου
Policy model table,Πίνακας μοντέλου πολιτικής
Retention,Διατήρηση
Required data retention policies launched with success.,Οι απαιτούμενες πολιτικές διατήρησης δεδομένων ξεκίνησαν με επιτυχία.
Launching selected data retention policies failed. Please try again.,Η εκκίνηση των επιλεγμένων πολιτικών διατήρησης δεδομένων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed launched all selected data retention policies. Data retention policies which failed launching are still selected. Please try again.,Απέτυχε η εκκίνηση όλων των επιλεγμένων πολιτικών διατήρησης δεδομένων. Οι πολιτικές διατήρησης δεδομένων που απέτυχαν να εκκινήσουν παραμένουν επιλεγμένες. Παρακαλώ προσπαθήστε ξανά.
Required data retention policies activated with success.,Οι απαιτούμενες πολιτικές διατήρησης δεδομένων ενεργοποιήθηκαν με επιτυχία.
Activating selected data retention policies failed. Please try again.,Η ενεργοποίηση των επιλεγμένων πολιτικών διατήρησης δεδομένων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
