# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Unknown error.,Eroare necunoscută.
Are you sure you want to inactivate this agent job?,Sunteți sigur că doriți să inactivați această sarcină a agentului?
NOTE: This agent job is part of a plugin. If you delete it plugin might not function normally.,"NOTĂ: Acest job al agentului face parte dintr-un plugin. Dacă îl ștergeți, pluginul s-ar putea să nu funcționeze normal."
Are you sure you want to continue?,Sunteți sigur că doriţi să continuaţi?
Are you sure you want to DELETE this agent job?,Sunteți sigur că doriți să ștergeți această sarcină de agent?
NOTE: Job is still running! You should run this job only if you know what you'r doing!!!,NOTĂ: Job-ul încă rulează! Ar trebui să rulezi acest job doar dacă știi ce faci!!!
Are you sure you want to manually run this agent job?,Sunteți sigur că doriți să rulați manual această sarcină a agentului?
Please select agent jobs you want to activate first.,Vă rugăm să selectați mai întâi joburile agentului pe care doriți să le activați.
Are you sure you want to activate %s agent jobs?,Sunteți sigur că doriți să activați %s job-uri de agent?
Please select agent jobs you want to inactivate first.,Vă rugăm să selectați mai întâi locurile de muncă ale agenților pe care doriți să le inactivați.
Are you sure you want to inactivate %s agent jobs?,Sunteți sigur că doriți să inactivați %s joburi de agenți?
Please select agent jobs you want to delete first.,Vă rugăm să selectați mai întâi locurile de muncă ale agenților pe care doriți să le ștergeți.
Are you sure you want to DELETE %s agent jobs?,Sunteți sigur că doriți să ștergeți %s joburi de agent?
Add Role,Adaugă Rol
Plugins' Integrity,Integritatea modulelor
Couldn't load plugins model.,Nu s-au putut încărca modelele de pluginuri.
Please provide a valid plugin name.,Vă rugăm să furnizați un nume valid de plugin.
"Checking plugin %s (%s controllers, %s actions, %s contracts, %s models, %s events)...","Verificare plugin %s (%s controlere, %s acțiuni, %s contracte, %s modele, %s evenimente)..."
NOT Installed,NU E Instalat
Framework Updates,Updateuri de Framework
Add API Key,Adaugă cheie API
Error creating API instance: %s,Eroare la crearea instanței API: %s
Couldn't obtain an API instance.,Nu s-a putut obține o instanță API.
API key details saved...,Detaliile cheii API salvate...
Edit API Key,Editează Cheia API
Invalid API key...,Cheie API invalidă...
API key details saved.,Detalii cheie API salvate.
API Keys List,Lista Chei API
API keys,Chei API
API key,Cheie API
Invalid API key or API key was not found in database.,Cheia API nu a fost găsită în baza de date.
API key details saved in database.,Detaliile cheii API salvate în baza de date.
API Key,Cheie API
Simulate Web,Simulare WEB
??,??
Required API keys activated with success.,Cheia API a fost activată cu succes.
Activating selected API keys failed. Please try again.,Activarea cheilor API selectate a eșuat. Vă rugăm să încercați din nou.
Failed activating all selected API keys. API keys which failed activation are still selected. Please try again.,Activarea tuturor cheilor API selectate a eșuat. Cheile API care nu au putut fi activate rămân selectate. Vă rugăm să încercați din nou.
Required API keys inactivated with success.,Cheile API necesare au fost dezactivate cu succes.
Inactivating selected API keys failed. Please try again.,Dezactivarea cheilor API selectate a eșuat. Vă rugăm să încercați din nou.
Failed inactivating all selected API keys. API keys which failed inactivation are still selected. Please try again.,Eșuare la dezactivarea tuturor cheilor API selectate. Cheile API care au eșuat la dezactivare sunt încă selectate. Vă rugăm să încercați din nou.
Required API keys deleted with success.,Cheile API necesare au fost șterse cu succes.
Deleting selected API keys failed. Please try again.,Ștergerea cheilor API selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected API keys. API keys which failed deletion are still selected. Please try again.,Ștergerea tuturor cheilor API selectate a eșuat. Cheile API care nu au putut fi șterse rămân selectate. Vă rugăm să încercați din nou.
API key activated with success.,Cheia API a fost activată cu succes.
Activating API key failed. Please try again.,Activarea cheii API a eșuat. Vă rugăm să încercați din nou.
Cannot activate API key. API key not found.,Nu se poate activa cheia API. Cheia API nu a fost găsită.
API key inactivated with success.,Cheia API a fost inactivată cu succes.
Inactivating API key failed. Please try again.,Dezactivarea cheii API a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate API key. API key not found.,Nu se poate inactiva cheia API. Cheia API nu a fost găsită.
API key deleted with success.,Cheia API a fost ștearsă cu succes.
Deleting API key failed. Please try again.,Ștergerea cheii API a eșuat. Vă rugăm să încercați din nou.
Cannot delete API key. API key not found.,Nu se poate șterge cheia API. Cheia API nu a fost găsită.
API Secret,Secret API
Show,Arată
ALL,TOT
Edit API key,Editează cheia API
Activate API key,Activează cheia API
Inactivate API key,Inactivează cheia API
Delete API key,Şterge cheia API
Are you sure you want to activate this API key?,Sunteți sigur că doriți să activați această cheie API?
Are you sure you want to inactivate this API key?,Sunteți sigur că doriți să inactivați această cheie API?
Are you sure you want to DELETE this API key?,Sunteți sigur că doriți să ștergeți această cheie API?
Please select API keys you want to activate first.,Vă rugăm să selectați mai întâi cheile API pe care doriți să le activați.
Are you sure you want to activate %s API keys?,Sunteți sigur că doriți să activați cheile API %s?
Please select API keys you want to inactivate first.,Vă rugăm să selectați mai întâi cheile API pe care doriți să le inactivați.
Are you sure you want to inactivate %s API keys?,Sunteți sigur că doriți să inactivați cheile API %s?
Please select API keys you want to delete first.,Vă rugăm să selectați mai întâi cheile API pe care doriți să le ștergeți.
Are you sure you want to DELETE %s API keys?,Sunteți sigur că doriți să ștergeți cheile API %s?
Roles List,Lista Rolurilor
role,rol
roles,roluri
Invalid role or role was not found in database.,Rol invalid sau rolul nu a fost găsit în baza de date.
Role details saved in database.,Detaliile rolului salvate în baza de date.
Slug,Slug
Required roles activated with success.,Rolurile necesare activate cu succes.
Activating selected roles failed. Please try again.,Activarea rolurilor selectate a eșuat. Vă rugăm să încercați din nou.
Failed activating all selected roles. Roles which failed activation are still selected. Please try again.,Activarea tuturor rolurilor selectate a eșuat. Rolurile care nu au putut fi activate rămân selectate. Vă rugăm să încercați din nou.
Required roles inactivated with success.,Rolurile necesare au fost inactivate cu succes.
Inactivating selected roles failed. Please try again.,Dezactivarea rolurilor selectate a eșuat. Vă rugăm să încercați din nou.
Failed inactivating all selected roles. Roles which failed inactivation are still selected. Please try again.,Eșuare la dezactivarea tuturor rolurilor selectate. Rolurile care au eșuat în inactivare sunt încă selectate. Vă rugăm să încercați din nou.
Required roles deleted with success.,Rolurile necesare au fost șterse cu succes.
Deleting selected roles failed. Please try again.,Ștergerea rolurilor selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected roles. Roles which failed deletion are still selected. Please try again.,Ștergerea tuturor rolurilor selectate a eșuat. Rolurile care nu au putut fi șterse rămân selectate. Vă rugăm să încercați din nou.
Role activated with success.,Rol activat cu succes.
Activating role failed. Please try again.,Activarea rolului a eșuat. Vă rugăm să încercați din nou.
Cannot activate role. Role not found.,Nu se poate activa rolul. Rolul nu a fost găsit.
Role inactivated with success.,Rolul a fost inactivat cu succes.
Inactivating role failed. Please try again.,Rolul de inactivare a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate role. Role not found.,Nu se poate inactiva rolul. Rolul nu a fost găsit.
Role deleted with success.,Rol şters cu succes.
Deleting role failed. Please try again.,Ștergerea rolului a eșuat. Vă rugăm să încercați din nou.
Cannot delete role. Role not found.,Nu se poate șterge rolul. Rolul nu a fost găsit.
Edit role,Editează rol
Activate role,Activează rolul
Inactivate role,Inactivează rolul
Delete role,Şterge rolul
Plugin name not provided for validity check,Numele pluginului nu a fost furnizat pentru verificarea validității
Unknown error while instantiating plugin.,Eroare necunoscută în timpul instanțierii plugin-ului.
Unknown error while instantiating controller.,Eroare necunoscută în timpul instanțierii controlerului.
Unknown error while instantiating action.,Eroare necunoscută în timpul instanțierii acțiunii.
Unknown error while instantiating contract.,Eroare necunoscută în timpul instanțierii contractului.
Unknown error while instantiating event.,Eroare la instanţierea evenimentului.
Unknown error while instantiating model.,Eroare necunoscută în timpul instanțierii modelului.
Nothing to instantiate. Please check parameters.,Nimic de instanțiat. Vă rugăm să verificați parametrii.
Admin Area,Zonă Admin
Add Data Retention Policy,Adăugați Politica de Retenție a Datelor
Provided details are not valid. Please try again.,Detaliile furnizate nu sunt valide. Încercați din nou.
Invalid retention interval. Please try again.,Interval de reținere nevalid. Vă rugăm să încercați din nou.
Data retention policy details saved...,Detalii privind politica de păstrare a datelor salvate...
Edit Data Retention Policy,Editați Politica de Retenție a Datelor
Invalid data retention policy...,Politica de reținere a datelor invalidă...
Data retention policy details saved.,Detaliile politicii de păstrare date salvată cu succes.
Initial data retention details are not valid anymore. Please delete or re-setup the policy.,Detaliile inițiale de reținere a datelor nu mai sunt valabile. Vă rugăm să ștergeți sau să reconfigurați politica.
Data Retention Policies Runs,Politici de reținere a datelor Rulează
policy,politică
policies,politici
Invalid data retention policy or data retention policy was not found in database.,Politica de reținere a datelor invalidă sau politica de reținere a datelor nu a fost găsită în baza de date.
Re-run,Re-rulează
From Table,Din Tabela
Runs which moved records from this table,Rulări care au mutat înregistrări din acest tabel
Source table,Tabela sursă
To Table,Către Tabela
Runs which moved records to this table,Rulări care au mutat înregistrări în acest tabel
Destination table,Tabela destinaţie
Action Type,Tip Acţiune
All data policies which run after this date,Toate politicile de date care rulează după această dată
Start date from,Data de începere de la
All data policies which run before this date,Toate politicile de date care rulează înainte de această dată
Start date to,Data de start
Retention Policy,Politica de retenție
From table,Din tabela
To table,Către tabela
Field,Câmp
Max date,Data maximă
Rows,Înregistrari
Data retention policy launched with success.,Politica de reținere a datelor lansată cu succes.
Launching data retention policy failed. Please try again.,Lansarea politicii de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Cannot launch data retention policy. Data retention policy not found.,Nu se poate lansa politica de reținere a datelor. Politica de reținere a datelor nu a fost găsită.
Re-run data retention policy,Re-rulați politica de reținere a datelor
Are you sure you want to run this data retention policy again?,Sunteți sigur că doriți să rulați din nou această politică de reținere a datelor?
Data retention Policies,Politici de păstrare date
Data Retention Policies,Politici de Păstrare Date
Data retention policy details saved in database.,Detaliile politicii de păstrare date salvată cu succes în baza de date.
Run,Rulează
Policies for specific plugin,Politici pentru un plugin specific
Policy plugin,Plugin
Policies for specific model,Politici pentru model specific
Policy model,Modelul pentru politică
Table,Tabela
Policies for specific model table,Politici pentru tabela specificată
Policy model table,Tabelul modelului de politică
Retention,Retenție
Required data retention policies launched with success.,Politici obligatorii de reținere a datelor lansate cu succes.
Launching selected data retention policies failed. Please try again.,Lansarea politicilor selectate de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Failed launched all selected data retention policies. Data retention policies which failed launching are still selected. Please try again.,Lansarea tuturor politicilor de reținere a datelor selectate a eșuat. Politicile de reținere a datelor care au eșuat la lansare sunt încă selectate. Vă rugăm să încercați din nou.
Required data retention policies activated with success.,Politici obligatorii de reținere a datelor activate cu succes.
Activating selected data retention policies failed. Please try again.,Activarea politicilor selectate de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Failed activating all selected data retention policies. Data retention policies which failed activation are still selected. Please try again.,Nu s-au putut activa toate politicile de reținere a datelor selectate. Politicile de reținere a datelor care nu au putut fi activate rămân încă selectate. Vă rugăm să încercați din nou.
Required data retention policies inactivated with success.,Politici de reținere a datelor obligatorii inactivate cu succes.
Inactivating selected data retention policies failed. Please try again.,Dezactivarea politicilor selectate de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Failed inactivating all selected data retention policies. Data retention policies which failed inactivation are still selected. Please try again.,Eșuare la dezactivarea tuturor politicilor de reținere a datelor selectate. Politicile de reținere a datelor care au eșuat în dezactivare sunt încă selectate. Vă rugăm să încercați din nou.
Required data retention policies deleted with success.,Politica de reținere a datelor necesare ștearsă cu succes.
Deleting selected data retention policies failed. Please try again.,Ștergerea politicilor de reținere a datelor selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected data retention policies. Data retention policies which failed deletion are still selected. Please try again.,Ștergerea tuturor politicilor de reținere a datelor selectate a eșuat. Politicile de reținere a datelor care nu au putut fi șterse rămân selectate. Vă rugăm să încercați din nou.
Data retention policy activated with success.,Politica de reținere a datelor activată cu succes.
Activating data retention policy failed. Please try again.,Activarea politicii de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Cannot activate data retention policy. Data retention policy not found.,Nu se poate activa politica de reținere a datelor. Politica de reținere a datelor nu a fost găsită.
Data retention policy inactivated with success.,Politica de reținere a datelor a fost dezactivată cu succes.
Inactivating data retention policy failed. Please try again.,Politica de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate data retention policy. Data retention policy not found.,Nu se poate inactiva politica de reținere a datelor. Politica de reținere a datelor nu a fost găsită.
Data retention policy deleted with success.,Politica de reținere a datelor ștearsă cu succes.
Deleting data retention policy failed. Please try again.,Ștergerea politicii de reținere a datelor a eșuat. Vă rugăm să încercați din nou.
Cannot delete data retention policy. Data retention policy not found.,Nu se poate șterge politica de reținere a datelor. Politica de reținere a datelor nu a fost găsită.
Edit data retention policy,Editați politica de reținere a datelor
Activate data retention policy,Activare politicii de reținere a datelor
Inactivate data retention policy,Dezactivați politica de reținere a datelor
Run data retention policy,Executați politica de reținere a datelor
Delete data retention policy,Ștergeți politica de reținere a datelor
Are you sure you want to activate this data retention policy?,Sunteți sigur că doriți să activați această politică de reținere a datelor?
Are you sure you want to inactivate this data retention policy?,Sunteți sigur că doriți să inactivați această politică de reținere a datelor?
Are you sure you want to run this data retention policy?,Sunteți sigur că doriți să rulați această politică de reținere a datelor?
Are you sure you want to DELETE this data retention policy?,Sunteți sigur că doriți să ȘTERGEȚI această politică de reținere a datelor?
Please select data retention policies you want to activate first.,Vă rugăm să selectați politicile de reținere a datelor pe care doriți să le activați mai întâi.
Are you sure you want to activate %s data retention policies?,Sunteţi sigur că doriţi ştergerea a %s politici de retenție?
Please select data retention policies you want to inactivate first.,Vă rugăm să selectați politicile de reținere a datelor pe care doriți să le inactivați mai întâi.
Are you sure you want to inactivate %s data retention policies?,Sunteți sigur că doriți să inactivați politicile de reținere a datelor %s?
Please select data retention policies you want to run first.,Vă rugăm să selectați politicile de reținere a datelor pe care doriți să le rulați mai întâi.
Are you sure you want to run %s data retention policies?,Sunteți sigur că doriți să rulați politici de reținere a datelor %s?
Please select data retention policies you want to delete first.,Vă rugăm să selectați politicile de reținere a datelor pe care doriți să le ștergeți mai întâi.
Are you sure you want to DELETE %s data retention policies?,Sunteți sigur că doriți să ștergeți politicile de reținere a datelor %s?
Data retention details not provided.,Detaliile de reținere a datelor nu au fost furnizate.
Import Users,Importă Utilitatorii
"Import finished. %s accounts in import file, %s accounts processed, %s new accounts (%s inserted in database), %s updated accounts, %s errors.","Import finalizat. %s conturi în fișierul de import, %s conturi procesate, %s conturi noi (%s inserate în baza de date), %s conturi actualizate, %s erori."
For more details check import log file.,Pentru mai multe detalii verificaţi fișierul de import.
Error uploading accounts import file: %s,Eroare la uploadarea fişierului de import: %s
Error processing import: %s,Eroare la procesarea importului: %s
Import finished...,Import terminat...
Add User,Adaugă Utilizator
User account created...,Cont de utilizator creat...
Edit User,Editează utilizatorul
Invalid account...,Cont invalid...
Account details saved in database.,Detaliile contului salvate în baza de date.
Password fields don't match.,Câmpurile de parolă nu se potrivesc.
Account details,Detalii cont
List Users,Listă utilizatori
User account created.,Contul de utilizator creat.
You don't have enough rights to edit the account.,Nu aveţi drepturi de a edita contul.
user,utilizator
users,utilizatori
Reset account locking,Resetează blocarea contului
Export selected,Export selecţie
Export ALL accounts,Exportă TOATE conturile
Has login attempts,Are încercări de conectare
IS or WAS locked,A FOST sau ESTE blocat
IS locked,IS blocat
IDs,IDuri
Comma separated ids,Iduri separate cu virgulă
"eg. 1,2,3","ex. 1,2,3"
Nickname,Utilizator
Account lockout,Blocare cont
Select only accounts with specific account lockout conditions,Selectați numai conturile cu condiții specifice de blocare a conturilor
Level,Nivel
Tenants,Chiriași
Locked?,Blocat?
Last Login,Ultima Logare
Never,Niciodată
Reseted account locking for required accounts with success.,Resetat cu succes blocarea conturilor pentru conturile date.
Resetting account locking for selected accounts failed. Please try again.,Eroare la resetarea blocării conturilor. Încercaţi din nou.
Failed resetting account locking for all selected accounts. Accounts for which action failed are still selected. Please try again.,Eroare la resetarea blocării conturilor pentru toate conturile date. Conturile pentru care acțiunea nu a funcționat sunt încă selectate. Încercaţi din nou.
Required accounts activated with success.,Conturile necesare au fost activate cu succes.
Activating selected accounts failed. Please try again.,Activarea conturilor selectate a eșuat. Vă rugăm să încercați din nou.
Failed activating all selected accounts. Accounts which failed activation are still selected. Please try again.,Activarea tuturor conturilor selectate a eșuat. Conturile care nu au putut fi activate rămân selectate. Vă rugăm să încercați din nou.
Required accounts inactivated with success.,Conturile necesare au fost dezactivate cu succes.
Inactivating selected accounts failed. Please try again.,Dezactivarea conturilor selectate a eșuat. Vă rugăm să încercați din nou.
Failed inactivating all selected accounts. Accounts which failed inactivation are still selected. Please try again.,Eșuare la dezactivarea tuturor conturilor selectate. Conturile care au eșuat la dezactivare sunt încă selectate. Vă rugăm să încercați din nou.
Required accounts deleted with success.,Conturile necesare au fost șterse cu succes.
Deleting selected accounts failed. Please try again.,Ștergerea conturilor selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected accounts. Accounts which failed deletion are still selected. Please try again.,Ștergerea tuturor conturilor selectate a eșuat. Conturile care nu au putut fi șterse sunt încă selectate. Vă rugăm să încercați din nou.
Required accounts exported with success.,Conturile cerute exportate cu succes.
Exporting selected accounts failed. Please try again.,Eroare la exportarea conturilor. Încercaţi din nou.
Failed exporting all selected accounts. Accounts which failed export are still selected. Please try again.,Eroare la exportarea conturilor selectate. Conturile care nu au fost exportate sunt încă selectate. Încercaţi din nou.
Logged in with success.,Logare cu succes.
Logging in as this account failed. Please try again.,Nu s-a putut efectua logarea în cont. Încercați din nou.
Cannot login as this account. Account not found.,Nu se poate autentifica cu acest cont. Contul nu a fost găsit.
Account not active. Activate account first.,Contul nu este activ. Activati contul mai intai.
Account locking reset with success.,Blocarea contului a fost resetată cu succes.
Resetting account locking failed. Please try again.,Resetarea blocării contului a eșuat. Vă rugăm să încercați din nou.
Cannot reset account locking. Account not found.,Nu se poate reseta blocarea contului. Contul nu a fost găsit.
You don't have rights to manage this account.,Nu aveți drepturi de administrare a acestui cont.
Re-sent registration email with success.,Email de înregistrare retrimis cu succes.
Re-sending registration email failed. Please try again.,Re-trimiterea emailului de înregistrare a eșuat. Vă rugăm să încercați din nou.
You don't have rights to manage accounts.,Nu aveți drepturi pentru a gestiona conturile.
Cannot re-send registration email. Account not found.,Nu se poate retrimite emailul de înregistrare. Contul nu a fost găsit.
Account activated with success.,Cont activat cu succes.
Activating account failed. Please try again.,Activarea contului a eșuat. Vă rugăm să încercați din nou.
Cannot activate account. Account not found.,Nu se poate activa contul. Contul nu a fost găsit.
Account inactivated with success.,Contul a fost inactivat cu succes.
Inactivating account failed. Please try again.,Dezactivarea contului a eșuat. Vă rugăm să încercați din nou.
Cannot inactivate account. Account not found.,Nu se poate inactiva contul. Contul nu a fost găsit.
Account deleted with success.,Cont șters cu succes.
Deleting account failed. Please try again.,Ștergerea contului a eșuat. Vă rugăm să încercați din nou.
Cannot delete account. Account not found.,Nu se poate șterge contul. Contul nu a fost găsit.
YES,DA
%s failures,%s eșecuri
Change login to this account,Logare în acest cont
Edit account,Editează contul
Re-send registration email,Retrimite emailul de înregistrare
Activate account,Activare cont
Inactivate account,Inactivare cont
Delete account,Şterge cont
Are you sure you want to change login as this account?,Sunteți sigur că doriți să schimbați autentificarea cu acest cont?
Are you sure you want to reset account locking for this account?,Sunteți sigur că doriți să resetați blocarea contului pentru acest cont?
Are you sure you want to re-send registration email for this account?,Sunteți sigur că doriți să retrimiteți emailul de înregistrare pentru acest cont?
Are you sure you want to activate this account?,Sunteți sigur că doriți să activați acest cont?
Are you sure you want to inactivate this account?,Sunteți sigur că doriți să inactivați acest cont?
Are you sure you want to DELETE this account?,Sunteți sigur că doriți să ȘTERGEȚI acest cont?
Reading account details...,Citire detalii cont...
Error reading account details. Please try again.,Eroare la citirea detaliilor contului. Încercați din nou.
Please select accounts you want to activate first.,Vă rugăm să selectați conturile pe care doriți să le activați mai întâi.
Are you sure you want to activate %s accounts?,Sunteți sigur că doriți să activați %s conturi?
Please select accounts you want to inactivate first.,Vă rugăm să selectați mai întâi conturile pe care doriți să le inactivați.
Are you sure you want to inactivate %s accounts?,Sunteți sigur că doriți să inactivați %s conturi?
Please select accounts you want to delete first.,Va rugăm să selectați mai întâi conturile pe care doriți să le ștergeți.
Are you sure you want to DELETE %s accounts?,Sunteți sigur că doriți să ștergeți %s conturi?
Please select accounts you want to reset locking for first.,Vă rugăm să selectați mai întâi conturile pentru care doriți să resetați blocarea.
Are you sure you want to reset locking for %s accounts?,Sunteți sigur că doriți să resetați blocarea pentru %s conturi?
Are you sure you want to export ALL accounts?,Sunteţi sigur că doriţi să exportaţi TOATE conturile?
HTTP Calls Requests,Cereri HTTP
Invalid HTTP call...,Cerere HTTP invalidă...
HTTP Calls,Cerere HTTP
Invalid HTTP call or HTTP call not found in database.,Cerere HTTP invalidă sau înregistrarea nu a fost găsită în baza de date.
HTTP call,Cerere HTTP
HTTP calls,Cereri HTTP
URL,URL
All HTTP calls to provided URL,Toate apelurile HTTP către URL-ul furnizat
All HTTP calls done using this method,Toate apelurile HTTP sunt efectuate folosind această metodă
Handle,Mâner
All HTTP calls created using specified handle,Toate apelurile HTTP create folosind manerul specificat
Is final?,E final?
Select only final HTTP calls,Selectează doar apelurile HTTP finale
Final calls,Cereri finale
NOT final calls,Apeluri NEFINALE
All HTTP calls run after this date,Toate apelurile HTTP rulează după această dată
Calls run after this date,Apelurile rulează după această dată
All HTTP calls run before this date,Toate apelurile HTTP rulează înainte de această dată
Calls run before this date,Apelurile rulează înainte de această dată
Payload,Payload
Runs,Rulări
Is Final?,E Final?
Pause,Pauză
Un-pause,Reluare
View Payload,Vizualizare payload
Fails,Eșecuri
Max retries,Reîncercări max
View HTTP call requests,Vizualizare cereri HTTP
Run After,Rulează După
RA,RD
Last Run,Ultima Rulare
LR,UR
Last HTTP Call Error,Ultima eroare HTTP
Resume HTTP call,Rezumați apelul HTTP
Pause HTTP call,Pauză apel HTTP
Resend HTTP call,Reîncercați apelul HTTP
View HTTP call settings,Vizualizați setările apelului HTTP
Delete HTTP call,Şterge cererea HTTP
Payload updated with success.,Payload actualizat cu succes.
Error updating payload. Please try again.,Eroare la actualizarea încărcăturii. Vă rugăm să încercați din nou.
Please provide a payload content.,Vă rugăm să furnizați un conținut al încărcăturii.
HTTP call not found in database.,Apelul HTTP nu a fost găsit în baza de date.
HTTP call running in a background job with success.,Apelul HTTP rulează într-un job în fundal cu succes.
Retrying HTTP call failed. Please try again.,Reîncercarea apelului HTTP a eșuat. Vă rugăm să încercați din nou.
HTTP call paused with success.,Apelul HTTP a fost oprit cu succes.
Pausing HTTP call failed. Please try again.,Pauzarea apelului HTTP a eșuat. Vă rugăm să încercați din nou.
HTTP call un-paused with success.,Apelul HTTP a fost repornit cu succes.
Un-pausing HTTP call failed. Please try again.,Repornirea apelului HTTP a eșuat. Vă rugăm să încercați din nou.
HTTP call deleted with success.,Apelul HTTP a fost șters cu succes.
Deleting HTTP call failed. Please try again.,Ștergerea apelului HTTP a eșuat. Vă rugăm să încercați din nou.
Required HTTP calls paused with success.,Apelurile HTTP necesare au fost oprite cu succes.
Pausing selected HTTP calls failed. Please try again.,Întreruperea apelurilor HTTP selectate a eșuat. Vă rugăm să încercați din nou.
Failed pausing all selected HTTP calls. HTTP calls which failed pausing are still selected. Please try again.,Eșuare la întreruperea tuturor apelurilor HTTP selectate. Apelurile HTTP care au eșuat la întrerupere rămân încă selectate. Vă rugăm să încercați din nou.
Required HTTP calls un-paused with success.,Apelurile HTTP necesare au fost repornite cu succes.
Un-pausing selected HTTP calls failed. Please try again.,Repornirea apelurilor HTTP selectate a eșuat. Vă rugăm să încercați din nou.
Failed un-pausing all selected HTTP calls. HTTP calls which failed un-pausing are still selected. Please try again.,Eșuare la repornirea tuturor apelurilor HTTP selectate. Apelurile HTTP care au eșuat la repornire rămân încă selectate. Vă rugăm să încercați din nou.
Required HTTP calls deleted with success.,Apelurile HTTP necesare au fost șterse cu succes.
Deleting selected HTTP calls failed. Please try again.,Ștergerea apelurilor HTTP selectate a eșuat. Vă rugăm să încercați din nou.
Failed deleting all selected HTTP calls. HTTP calls which failed deletion are still selected. Please try again.,Eșuare la ștergerea tuturor apelurilor HTTP selectate. Apelurile HTTP care nu au putut fi șterse rămân încă selectate. Vă rugăm să încercați din nou.
HTTP Call Payload,Payload Cerere HTTP
HTTP Call Settings,Setări Cerere HTTP
Please wait..,Aşteptaţi...
HTTP Call Requests,Cerere HTTP
Edit payload,Editează payload
Language Files,Fișiere de limbaj
Modified,Modificat
POT File,Fișier POT
POT Files List,Listă fișiere POT
Regenerate POT File,Regenerare fișier POT
You can add directories which will be excluded when generating POT file...,Puteți adăuga directoare care vor fi excluse atunci când se generează fișierul POT...
Excluded directory,Director exclus
Delete excluding path,Ștergeți excluzând calea
Add directory exception,Adăugați excepție de director
Generate POT file,Generați fișierul POT
Regenerate PO File,Regenerați fișierul PO
For language,Pentru limbaj
Select language,Selectare limbă
Update PO file,Actualizare fișier PO
Translate PO File,Traduceți fișierul PO
Translate language,Traduceți limbajul
Translate PO file,Traduceți fișierul PO
PO file,Fișier PO
Total translations,Traduceri totale
Already translated,Deja tradus
AI Translation,Traducere AI
No status for UI translation using AI for this file.,Niciun status pentru traducerea UI folosind AI pentru acest fișier.
Errors,Erori
Success,Succes
Last log,Ultimul jurnal
Are you sure you want to remove this excluding path?,Sunteți sigur că doriți să eliminați acest traseu de excludere?
File does not exist.,Fișierul nu există.
Obtaining details...,Obținerea detaliilor...
Error obtaining PO file details. Please try again.,Eroare la obținerea detaliilor fișierului PO. Vă rugăm să încercați din nou.
Displaying PO file info...,Afișare informații fișier PO...
PO file info %s,Informații fișier PO %s
Preparing download...,Pregătire descărcare...
Error obtaining a download link. Please try again.,Eroare la obținerea unui link de descărcare. Vă rugăm să încercați din nou.
Downloading file (%s bytes)...,Descărcare fișier (%s octeți)...
Generating POT file...,Generarea fișierului POT...
POT file generated with success.,Fișierul POT generat cu succes.
Generating PO file...,Generarea fișierului PO...
PO file generated with success.,Fișierul PO generat cu succes.
Are you sure you want to force stop the current translation task?,Sunteți sigur că doriți să opriți forțat sarcina curentă de traducere?
No running translation task found.,Nu s-a găsit nicio sarcină de traducere în execuție.
Sending stop request...,Trimitere cerere de oprire...
Error sending stop request. Please try again.,Eroare la trimiterea cererii de oprire. Vă rugăm să încercați din nou.
Stop request sent to background task. Refresh PO file details to see the status.,Cererea de oprire a fost trimisă către sarcina din fundal. Reîmprospătați detaliile fișierului PO pentru a vedea starea.
Translating PO file...,Se traduce fișierul PO...
PO translation task launched with success in background job.,Sarcina de traducere PO a fost lansată cu succes într-un job în fundal.
"You can check the progress by clicking the <i class=\""fa fa-info\""></i> icon for provided language.","Puteți verifica progresul făcând clic pe iconița <i class=\""fa fa-info\""></i> pentru limba furnizată."
Choose tenant,Selectați chiriașul
"Current platform doesn't support multi-tenant setup. All changes will be done on a \""Default\"" tenant.",Platformul curent nu suportă configurarea multi-locatar. Toate modificările vor fi făcute pe un locatar „Implicit”.
Plugin name,Nume plugin
Plugin status,Status plugin
No plugins selected with current filters.,Nici un plugin selectat cu filtrele curente.
Selected %s plugins...,%s pluginuri selectate...
There are selected plugins which are not visible!,Există modulele selectate care nu sunt vizibile!
ACTIVATE Selected,ACTIVEAZĂ Selecția
INACTIVATE Selected,INACTIVEAZĂ Selecția
Registry data for plugin %s on tenant %s.,Datele din registru pentru modulul %s pe chiriașul %s.
Registry key,Cheie de registru
Registry value,Valoare de registru
No registry data yet...,Încă nu există date în registrul...
